Ticker,Frequency,Name,Percentage
JCP,10006,Progenics Pharmaceut,0.05144040855385208
ARNC,3880,J C Penney Company I,0.019946910372671007
ACM,1704,Arconic Inc,0.00876018950387407
DAL,12650,Aecom,0.06503309696244541
HTZ,8171,"Delta Air Lines, Inc",0.042006753777086285
MCD,17297,,0.08892312080311607
ADES,1004,McDonald's Corporati,0.005161520106742703
ASTI,40032,,0.20580276186566127
DSOX,23,Ascent Solar Technol,0.0001182419944771735
ENDV,268,Triton Emission Solu,0.001377776283473152
ITUS,7692,Endonovo Therapeutic,0.03954423571819211
PNPL,47,ITUS Corp,0.0002416249452359632
UQM,770,PINEAPPLE EXPRESS CO,0.003958536336844503
ALNY,8363,UQM Technologies Inc,0.04299381738315661
ABBV,12691,Alnylam Pharmaceutic,0.0652438761699917
GLPG,2329,AbbVie Inc,0.01197328717988422
VRTX,16647,Galapagos NV (ADR),0.08558149922006551
ATVI,13380,,0.06878599504802528
a,1265,"Activision Blizzard,",0.006503309696244543
AKBA,1516,,0.007793689722930218
tsla,11029,Akebia Therapeutics ,0.056699606829945494
EWZ,5651,,0.029051543947413366
UVXY,11362,iShares MSCI Brazil ,0.0584115452717237
PULM,1680,,0.008636806553115281
EDZ,225,,0.0011567151633636536
FBR,1338,,0.006878599504802527
MELI,3451,Fibria Celulose SA (,0.01774144012785764
BP,8196,Mercadolibre Inc,0.04213527768412669
ADAP,3411,BP plc (ADR),0.01753580187659299
CBD,773,Adaptimmune Therapeu,0.003973959205689352
CIG,1069,Companhia Brasileira,0.005495682265047759
CZZ,717,Cia Energetica de Mi,0.0036860656539188428
ELP,610,Cosan Ltd (USA),0.0031359833317859053
GGB,1324,Companhia Paranaense,0.006806626116859901
TSU,718,Gerdau SA (ADR),0.0036912066102004594
VIV,1105,TIM Participacoes SA,0.005680756691185944
Avgr,3,Telefonica Brasil SA,1.5422868844848717e-05
APC,6773,,0.03481969689538678
CCI,5408,Anadarko Petroleum C,0.027802291570980617
CM,4888,,0.025128994304540173
GIS,7443,Canadian Imperial Ba,0.038264137604069666
NSC,5729,"General Mills, Inc.",0.02945253853737943
PCG,3737,Norfolk Southern Cor,0.019211753624399884
PX,5929,PG&E Corporation,0.030480729793702675
S,52689,"Praxair, Inc.",0.270871845522078
TRV,6304,Sprint Corp,0.03240858839930877
BDX,5645,Travelers Companies ,0.029020698209723663
CI,7019,Becton Dickinson and,0.03608437214066438
EMR,5848,CIGNA Corporation,0.030064312334891763
ESRX,7011,Emerson Electric Co.,0.03604324449041145
HPE,9577,,0.049234938309038724
MMC,4446,Hewlett Packard Ente,0.022856691628065796
PSA,6054,Marsh & McLennan Com,0.03112334932890471
WPZ,3773,Public Storage,0.019396828050538068
ALXN,9688,Williams Partners LP,0.04980558445629812
ETP,7150,Alexion Pharmaceutic,0.03675783741355611
KR,16771,Energy Transfer Part,0.08621897779898594
MNST,9311,Kroger Co,0.0478674439381288
MPC,5918,,0.0304241792746049
PLD,4824,Marathon Petroleum C,0.024799973102516738
PPG,5463,Prologis Inc,0.028085044166469512
STI,4790,"PPG Industries, Inc.",0.02462518058894178
ZTS,5172,,0.026589025888519184
BPMX,1866,Zoetis Inc,0.009593024421495901
EXAS,5603,Biopharmx Corp,0.028804778045895787
GRUB,5785,EXACT Sciences Corpo,0.029740432089149938
IFON,1021,GrubHub Inc,0.005248916363530179
MTBC,3646,InfoSonics Corporati,0.018743926602772805
SMSI,383,Medical Transcriptio,0.0019689862558590196
TLOG,631,Smith Micro Software,0.0032439434136998465
AXP,10310,Tetralogic Pharmaceu,0.05300325926346342
BLK,13852,American Express Com,0.07121252641294815
DD,7616,"BlackRock, Inc.",0.03915352304078927
ENB,4938,E I Du Pont De Nemou,0.025386042118620982
LOW,14826,Enbridge Inc (USA),0.07621981783124235
MDLZ,8283,"Lowe's Companies, In",0.0425825408806273
ABCB,930,Mondelez Internation,0.004781089341903102
DCUC,2221,Ameris Bancorp,0.011418063901469665
EL,7318,,0.03762151806886763
EQIX,5182,Estee Lauder Compani,0.026640435451335348
PXD,5771,,0.029668458701207313
STZ,6755,Pioneer Natural Reso,0.03472715968231769
TRI,4588,Constellation Brands,0.0235867074200553
WM,6292,Thomson Reuters Corp,0.03234689692392937
BID,1511,"Waste Management, In",0.007767984941522136
AMDA,2944,Sothebys,0.015134975293078208
GST,1139,Amedica Corporation,0.0058555492047608956
LGCY,843,,0.004333826145402489
OPTT,1368,Legacy Reserves LP,0.007032828193251014
TNXP,2024,Ocean Power Technolo,0.010405295513991266
VNR,349,,0.0017941937422840672
BCS,2332,,0.011988710048729069
CUK,2886,Barclays PLC (ADR),0.014836799828744465
VIIX,357,Carnival plc (ADR),0.001835321392536997
VIXY,705,,0.003624374178539448
NDX,14132,,0.07265199417180068
ALSN,1773,,0.009114915487305591
DNR,6231,Allison Transmission,0.03203329859075078
EPE,1068,Denbury Resources In,0.005490541308766143
FBP,1005,EP Energy Corp,0.00516666106302432
GBSN,992,First Bancorp,0.005099828631363309
ICLD,11274,Great Basin Scientif,0.057959141118941473
SVU,4273,GREAT BASIN SCIENT C,0.021967306191346188
TXMD,2648,InterCloud Systems I,0.013613252233719801
VG,1945,SUPERVALU INC.,0.009999159967743584
VPCO,144,TherapeuticsMD Inc,0.0007402977045527383
RRGB,1722,Vonage Holdings Corp,0.008852726716943163
BWP,1217,,0.006256543794726962
ABAX,945,Red Robin Gourmet Bu,0.004858203686127346
AMT,6055,Boardwalk Pipeline P,0.031128490285186324
D,6325,Abaxis Inc,0.03251654848122271
FDX,11037,American Tower Corp,0.05674073448019843
MON,6927,Dominion Energy Inc,0.03561140416275568
